[SETTINGS]
start	1
#scene list
[SCENES]
2	scene-test.txt	1
1	scene-1-4.txt	1
3	scene-world-map.txt	0
4	intro.txt	2
[RESOURCES]
Resources\textures\textures.txt

[HUB_PATH]
Resources\hub\hub.txt


[FONT]
#0
31	24	9	9	60
#1
53	24	9	9	60
#2
71	24	9	9	60
#3
89	24	9	9	60
#4
108	24	9	9	60
#5
126	24	9	9	60
#6
144	24	9	9	60
#7
161	24	9	9	60
#8
179	24	9	9	60
#9
196	24	9	9	60

#a10
214	24	9	9	60
#b11
233	24	9	9	60
#c12
31	39	9	9	60
#d13
53	39	9	9	60
#e14
71	39	9	9	60
#f15
89	39	9	9	60
#g16
108	39	9	9	60
#h17
126	39	9	9	60
#i18
144	39	9	9	60
#j19
161	39	9	9	60
#k20
179	38	9	9	60
#l21
196	38	9	9	60
#m22
214	39	9	9	60
#n23
233	38	9	9	60
#o24
31	55	9	9	60
#p25
53	55	9	9	60
#q26
71	54	9	9	60
#r27
89	54	9	9	60
#s28
108	54	9	9	60
#t29
126	54	9	9	60
#u30
144	55	9	9	60
#v31
161	55	9	9	60
#w32
179	55	9	9	60
#x33
196	54	9	9	60
#y34
214	55	9	9	60
#z35
233	55	9	9	60

# M TAG
15	160	18	9	60
# ARROW WHITE
61	162	8	7	60
# ARROW BLACK
91	162	8	7	60
#P TAG WHITE
70	162	15	7	60
#P TAG BLACK
100	162	15	7	60
